,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,synopsis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
0,tt0111161,Les Évadés,Drama,2483040.0,1994.0,142.0,9.3,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['United States'],"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency",tt0109830,tt0137523,tt0120815,tt0120586,https://www.youtube.com/embed/PLl99DlL6b4,https://Trailers.to/player/embed/imdb/tt0111161
1,tt0468569,The Dark Knight : Le Chevalier noir,Action,2437290.0,2008.0,152.0,9.0,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@.jpg,"['United States', 'United Kingdom']","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice",tt1375666,tt5813916,tt0120737,tt0133093,https://www.youtube.com/embed/kmJLuwP3MbY,https://Trailers.to/player/embed/imdb/tt0468569
2,tt1375666,Inception,Action,2187242.0,2010.0,148.0,8.8,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.jpg,"['United Kingdom', 'United States']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster",tt0468569,tt5813916,tt1345836,tt5074352,https://www.youtube.com/embed/Jvurpf91omw,https://Trailers.to/player/embed/imdb/tt1375666
3,tt0137523,Fight Club,Drama,1956792.0,1999.0,139.0,8.8,https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['Germany', 'United States']",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more,tt0109830,tt0120586,tt0482571,tt0405094,https://www.youtube.com/embed/6JnN1DmbqoU,https://Trailers.to/player/embed/imdb/tt0137523
4,tt0110912,Pulp Fiction,Crime,1921525.0,1994.0,154.0,8.9,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,['United States'],"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption",tt0114369,tt0317248,tt0120689,tt0407887,https://www.youtube.com/embed/tGpTpVyI_OQ,https://Trailers.to/player/embed/imdb/tt0110912
5,tt0109830,Forrest Gump,Drama,1919878.0,1994.0,142.0,8.8,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart",tt0137523,tt0111161,tt0120586,tt0120815,https://www.youtube.com/embed/bLvqoHBptjg,https://Trailers.to/player/embed/imdb/tt0109830
6,tt0133093,Matrix,Action,1774164.0,1999.0,136.0,8.7,https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"['United States', 'Australia']","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence",tt0119698,tt0172495,tt0364569,tt0110413,https://www.youtube.com/embed/L0fw0WzFaBM,https://Trailers.to/player/embed/imdb/tt0133093
7,tt0120737,Le Seigneur des anneaux : La Communauté de l'anneau,Action,1741516.0,2001.0,178.0,8.8,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,"['New Zealand', 'United States']",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron,tt0167261,tt0167260,tt0172495,tt0468569,https://www.youtube.com/embed/_nZdmwHrcnw,https://Trailers.to/player/embed/imdb/tt0120737
8,tt0167260,Le Seigneur des anneaux : Le Retour du roi,Action,1720171.0,2003.0,201.0,8.9,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['New Zealand', 'United States']",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,tt0120737,tt0167261,tt0468569,tt0172495,https://www.youtube.com/embed/zckJCxYxn1g,https://Trailers.to/player/embed/imdb/tt0167260
9,tt0816692,Interstellar,Adventure,1634607.0,2014.0,169.0,8.6,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"['United Kingdom', 'Canada', 'United States']",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,tt0361748,tt3322420,tt0758758,tt3659388,https://www.youtube.com/embed/KlyknsTJk0w,https://Trailers.to/player/embed/imdb/tt0816692
10,tt1345836,The Dark Knight Rises,Action,1588515.0,2012.0,164.0,8.4,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@.jpg,"['United Kingdom', 'United States']","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",tt5074352,tt2187153,tt7060344,tt4849438,https://www.youtube.com/embed/J9DlV9qwtF0,https://Trailers.to/player/embed/imdb/tt1345836
11,tt0167261,Le Seigneur des anneaux : Les Deux Tours,Action,1555170.0,2002.0,179.0,8.7,https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"['New Zealand', 'United States']","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",tt0120737,tt0167260,tt0172495,tt0468569,https://www.youtube.com/embed/nuTU5XcZTLA,https://Trailers.to/player/embed/imdb/tt0167261
12,tt0114369,Seven,Crime,1528574.0,1995.0,127.0,8.6,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives",tt0317248,tt0114814,tt0116231,tt0119488,https://www.youtube.com/embed/SpKbZ_3zlb0,https://Trailers.to/player/embed/imdb/tt0114369
13,tt1853728,Django Unchained,Drama,1438908.0,2012.0,165.0,8.4,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@.jpg,['United States'],"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi",tt0986264,tt3461252,tt0469494,tt7019842,https://www.youtube.com/embed/_iH0UBYDI4g,https://Trailers.to/player/embed/imdb/tt1853728
14,tt0172495,Gladiator,Action,1408688.0,2000.0,155.0,8.5,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"['United States', 'United Kingdom', 'Malta', 'Morocco']",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,tt0133093,tt0119698,tt0372784,tt0167261,https://www.youtube.com/embed/owK1qxDselE,https://Trailers.to/player/embed/imdb/tt0172495
15,tt0372784,Batman Begins,Action,1368561.0,2005.0,140.0,8.2,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['United Kingdom', 'United States']","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption",tt0434409,tt0386064,tt0378194,tt0381061,https://www.youtube.com/embed/uhkVY9GLUmU,https://Trailers.to/player/embed/imdb/tt0372784
16,tt0361748,Inglourious Basterds,Adventure,1343493.0,2009.0,153.0,8.3,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg,"['United States', 'Germany']","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",tt0758758,tt3322420,tt0450259,tt3659388,https://www.youtube.com/embed/sE8hc4gVyGo,https://Trailers.to/player/embed/imdb/tt0361748
17,tt0848228,Avengers,Action,1314884.0,2012.0,143.0,8.0,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['United States'],Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,tt1291584,tt2265171,tt1074638,tt1588170,https://www.youtube.com/embed/hIR8Ar-Z4hw,https://Trailers.to/player/embed/imdb/tt0848228
18,tt0120815,Il faut sauver le soldat Ryan,Drama,1300935.0,1998.0,169.0,8.6,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,['United States'],"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action",tt0244316,tt0986264,tt0120731,tt0109830,https://www.youtube.com/embed/RYExstiQlLc,https://Trailers.to/player/embed/imdb/tt0120815
19,tt0993846,Le loup de Wall Street,Biography,1278331.0,2013.0,180.0,8.2,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@.jpg,['United States'],"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government",tt0363163,tt0765429,tt1398426,tt6452574,https://www.youtube.com/embed/C2u3WtDKrS4,https://Trailers.to/player/embed/imdb/tt0993846
20,tt0108052,La liste de Schindler,Biography,1274410.0,1993.0,195.0,8.9,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis",tt0112573,tt0253474,tt0363163,tt0104797,https://www.youtube.com/embed/bJcLRFWxRno,https://Trailers.to/player/embed/imdb/tt0108052
21,tt0482571,Le Prestige,Drama,1253302.0,2006.0,130.0,8.5,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2.jpg,"['United Kingdom', 'United States']","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other",tt0405094,tt1255953,tt0375611,tt1305806,https://www.youtube.com/embed/ijXruSzfGEc,https://Trailers.to/player/embed/imdb/tt0482571
22,tt0407887,Les infiltrés,Crime,1248515.0,2006.0,151.0,8.5,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3.jpg,"['United States', 'Hong Kong']",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston,tt0317248,tt3417422,tt1392214,tt0353969,https://www.youtube.com/embed/iojhqm0JTW4,https://Trailers.to/player/embed/imdb/tt0407887
23,tt0120689,La ligne verte,Crime,1211777.0,1999.0,189.0,8.6,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3.jpg,['United States'],"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift",tt0112641,tt0113277,tt0276919,tt0106469,https://www.youtube.com/embed/qJRxRPrTGVY,https://Trailers.to/player/embed/imdb/tt0120689
24,tt1130884,Shutter Island,Mystery,1206588.0,2010.0,138.0,8.2,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['United States'],"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane",tt1821480,tt0209144,tt1937149,tt0114746,https://www.youtube.com/embed/qdPw9x9h5CY,https://Trailers.to/player/embed/imdb/tt1130884
25,tt0209144,Memento,Mystery,1175579.0,2000.0,113.0,8.4,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],A man with short-term memory loss attempts to track down his wife's murderer.,tt0114746,tt1821480,tt1130884,tt0116922,https://www.youtube.com/embed/Rq9eM4ZXRgs,https://Trailers.to/player/embed/imdb/tt0209144
26,tt0499549,Avatar,Action,1162201.0,2009.0,162.0,7.8,https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@.jpg,['United States'],A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home,tt0409459,tt0417741,tt1588170,tt2187153,https://www.youtube.com/embed/197Qfoy-xME,https://Trailers.to/player/embed/imdb/tt0499549
27,tt0169547,American Beauty,Drama,1109116.0,1999.0,122.0,8.3,https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['United States'],A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,tt0119217,tt0120586,tt0351817,tt0375611,https://www.youtube.com/embed/IJM3cZlqwlA,https://Trailers.to/player/embed/imdb/tt0169547
28,tt0120338,Titanic,Drama,1101409.0,1997.0,194.0,7.8,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"['United States', 'Mexico', 'Australia']","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic",tt0175880,tt0112870,tt0420332,tt0238936,https://www.youtube.com/embed/CHekzSiZjrY,https://Trailers.to/player/embed/imdb/tt0120338
29,tt2015381,Les Gardiens de la Galaxie,Action,1101278.0,2014.0,121.0,8.0,https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx.jpg,['United States'],A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe,tt1392190,tt1979320,tt1631867,tt1877832,https://www.youtube.com/embed/3CqymRQ1uUU,https://Trailers.to/player/embed/imdb/tt2015381
30,tt0110413,Léon,Action,1089467.0,1994.0,110.0,8.5,https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@.jpg,"['France', 'United States']","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",tt0120735,tt0119698,tt0364569,tt0107290,https://www.youtube.com/embed/aNQqoExfQsg,https://Trailers.to/player/embed/imdb/tt0110413
31,tt7286456,Joker,Crime,1089204.0,2019.0,122.0,8.4,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"['United States', 'Canada']","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker",tt10324144,tt4934950,tt8108198,tt4857264,https://www.youtube.com/embed/C6WqbLnpOoQ,https://Trailers.to/player/embed/imdb/tt7286456
32,tt0434409,V pour vendetta,Action,1072544.0,2005.0,132.0,8.1,https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@.jpg,"['United States', 'United Kingdom', 'Germany']","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman",tt0378194,tt0372784,tt0386064,tt0381061,https://www.youtube.com/embed/V5VGq23aZ-g,https://Trailers.to/player/embed/imdb/tt0434409
33,tt0120586,American History X,Drama,1072331.0,1998.0,119.0,8.5,https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg,['United States'],A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did,tt0169547,tt0119217,tt0180093,tt0338013,https://www.youtube.com/embed/JsPW6Fj3BUI,https://Trailers.to/player/embed/imdb/tt0120586
34,tt0266697,Kill Bill: Volume I,Action,1052905.0,2003.0,111.0,8.1,https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['United States', 'Hong Kong']","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her",tt0317705,tt0338564,tt0440963,tt0861739,https://www.youtube.com/embed/8trTO5mJYsg,https://Trailers.to/player/embed/imdb/tt0266697
35,tt0325980,Pirates des Caraïbes : La malédiction du Black Pearl,Action,1049709.0,2003.0,143.0,8.0,https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['United States'],"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor\'s daughter, from Jack\'s former pirate allies, who are now undead",tt0386064,tt0378194,tt0381061,tt0498380,https://www.youtube.com/embed/naQr0uTrH_s,https://Trailers.to/player/embed/imdb/tt0325980
36,tt0910970,Wall-E,Adventure,1048748.0,2008.0,98.0,8.4,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@.jpg,['United States'],"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind",tt1049413,tt0435761,tt0266543,tt2278388,https://www.youtube.com/embed/Tbr_L9Gap_M,https://Trailers.to/player/embed/imdb/tt0910970
37,tt0114814,Usual Suspects,Crime,1034153.0,1995.0,106.0,8.5,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"['United States', 'Germany']","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup",tt0105236,tt0114369,tt0113247,tt0116282,https://www.youtube.com/embed/x3t0Nc6fg7w,https://Trailers.to/player/embed/imdb/tt0114814
38,tt0120382,The Truman Show,Comedy,996820.0,1998.0,103.0,8.1,https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,['United States'],An insurance salesman discovers his whole life is actually a reality TV show,tt0109424,tt0208092,tt0118715,tt0283509,https://www.youtube.com/embed/M6_lt502BtM,https://Trailers.to/player/embed/imdb/tt0120382
39,tt0112573,Braveheart,Biography,993044.0,1995.0,178.0,8.3,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,['United States'],Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England,tt0363163,tt0253474,tt0140352,tt0108052,https://www.youtube.com/embed/WtO3CsleMDg,https://Trailers.to/player/embed/imdb/tt0112573
40,tt0371746,Iron Man,Action,990269.0,2008.0,126.0,7.9,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@.jpg,"['United States', 'Canada']","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil",tt0796366,tt1190539,tt0425112,tt1527788,https://www.youtube.com/embed/jK2VROKKTSQ,https://Trailers.to/player/embed/imdb/tt0371746
41,tt0110357,Le Roi Lion,Adventure,989867.0,1994.0,88.0,8.5,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@.jpg,['United States'],"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself",tt0114709,tt0103639,tt0198781,tt0266543,https://www.youtube.com/embed/lFzVJEksoDY,https://Trailers.to/player/embed/imdb/tt0110357
42,tt0266543,Le Monde de Nemo,Adventure,988974.0,2003.0,100.0,8.1,https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home",tt0379557,tt0198781,tt0126029,tt0382932,https://www.youtube.com/embed/ZS_8btMjx2U,https://Trailers.to/player/embed/imdb/tt0266543
43,tt1049413,Là-haut,Adventure,981386.0,2009.0,96.0,8.2,https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@.jpg,['United States'],"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway",tt0435761,tt0910970,tt2278388,tt1865505,https://www.youtube.com/embed/Ajcdb4FAL7A,https://Trailers.to/player/embed/imdb/tt1049413
44,tt0105236,Reservoir Dogs,Crime,963706.0,1992.0,99.0,8.3,https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant",tt0113247,tt0114814,tt0116282,tt0110729,https://www.youtube.com/embed/GLPJSmUHZvU,https://Trailers.to/player/embed/imdb/tt0105236
